epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.577,1.86901,2.25161,1.04565,0.28717,0.17034,0.13559,0.07323,1.64042,1.50335,0.98259,0.000237853,0.000237853,0.000237853
2,731.761,1.72995,1.6123,1.00618,0.26044,0.20481,0.17049,0.09448,1.6312,1.37242,0.97551,0.000466431,0.000466431,0.000466431
3,997.805,1.69313,1.51973,0.99715,0.26333,0.22511,0.18823,0.10283,1.59388,1.31906,0.96438,0.000685584,0.000685584,0.000685584
4,1254.46,1.66543,1.45255,0.98835,0.29211,0.23451,0.20322,0.11307,1.54675,1.27848,0.95994,0.000671588,0.000671588,0.000671588
5,1631.82,1.63982,1.39474,0.98145,0.30803,0.24381,0.2163,0.11967,1.54456,1.25248,0.95458,0.000657451,0.000657451,0.000657451
6,1928.82,1.61957,1.36178,0.97455,0.31121,0.24501,0.21905,0.12493,1.51751,1.21942,0.95221,0.000643314,0.000643314,0.000643314
7,2181.33,1.60561,1.32244,0.9722,0.32348,0.25647,0.23625,0.13208,1.49269,1.20292,0.94809,0.000629177,0.000629177,0.000629177
8,2443.39,1.58584,1.30433,0.97048,0.34895,0.25162,0.241,0.13612,1.50051,1.18431,0.94577,0.00061504,0.00061504,0.00061504
9,2700.28,1.5812,1.28881,0.96482,0.34867,0.26405,0.24646,0.13975,1.49471,1.17788,0.94383,0.000600902,0.000600902,0.000600902
10,3033.94,1.56465,1.27003,0.96251,0.33257,0.26854,0.25038,0.14088,1.46686,1.15681,0.94174,0.000586765,0.000586765,0.000586765
11,3399.7,1.55628,1.24653,0.95857,0.35416,0.25975,0.24797,0.13783,1.48701,1.16815,0.94265,0.000572628,0.000572628,0.000572628
12,3800.84,1.54386,1.23021,0.95824,0.35148,0.27669,0.25876,0.14667,1.45873,1.13561,0.93826,0.000558491,0.000558491,0.000558491
13,4049.09,1.54216,1.22621,0.95653,0.35374,0.27355,0.25636,0.14486,1.44845,1.1334,0.93788,0.000544354,0.000544354,0.000544354
14,4416.38,1.52757,1.20724,0.95293,0.36045,0.28495,0.26525,0.1508,1.43313,1.11733,0.93292,0.000530216,0.000530216,0.000530216
15,4901.84,1.52711,1.20102,0.95255,0.36465,0.27623,0.26332,0.15074,1.44215,1.11656,0.93447,0.000516079,0.000516079,0.000516079
16,5218.04,1.52102,1.19121,0.95218,0.37593,0.27386,0.26523,0.1491,1.43991,1.12203,0.93005,0.000501942,0.000501942,0.000501942
17,5615.43,1.51292,1.18177,0.94781,0.36954,0.28351,0.27318,0.15639,1.42992,1.10418,0.93047,0.000487805,0.000487805,0.000487805
18,5879.56,1.5063,1.17443,0.94695,0.37844,0.28317,0.27218,0.15558,1.4237,1.09265,0.93266,0.000473668,0.000473668,0.000473668
19,6266.72,1.51068,1.17576,0.94588,0.38142,0.2824,0.27449,0.15528,1.43606,1.09863,0.93035,0.00045953,0.00045953,0.00045953
20,6602.83,1.50579,1.15948,0.94411,0.37817,0.29197,0.27697,0.15665,1.41915,1.08668,0.92727,0.000445393,0.000445393,0.000445393
21,7183.09,1.49431,1.15356,0.94355,0.38808,0.29005,0.28266,0.16102,1.41283,1.08431,0.92669,0.000431256,0.000431256,0.000431256
22,7446,1.48271,1.14117,0.94128,0.38678,0.28859,0.28375,0.16204,1.4073,1.07422,0.92607,0.000417119,0.000417119,0.000417119
23,7736.55,1.48315,1.1384,0.94183,0.39975,0.29364,0.28784,0.16378,1.40336,1.06507,0.92414,0.000402982,0.000402982,0.000402982
24,8346.25,1.47908,1.12591,0.9402,0.39364,0.2942,0.28518,0.16391,1.39906,1.07066,0.92457,0.000388844,0.000388844,0.000388844
25,9715.96,1.47349,1.12313,0.93902,0.38897,0.29565,0.28718,0.1643,1.40457,1.06954,0.9243,0.000374707,0.000374707,0.000374707
26,11122.8,1.47459,1.12504,0.94039,0.39421,0.29543,0.28585,0.16514,1.39142,1.06212,0.9224,0.00036057,0.00036057,0.00036057
27,12452.6,1.47094,1.12017,0.93539,0.39259,0.29945,0.29234,0.16564,1.39696,1.06256,0.92291,0.000346433,0.000346433,0.000346433
28,12702.5,1.46704,1.11237,0.93616,0.39325,0.29722,0.28743,0.16541,1.39325,1.06159,0.91951,0.000332296,0.000332296,0.000332296
29,12943.4,1.46309,1.10732,0.9356,0.39545,0.29405,0.29004,0.16603,1.40004,1.05452,0.92282,0.000318158,0.000318158,0.000318158
30,13196.3,1.45735,1.09937,0.93464,0.40924,0.30133,0.295,0.16841,1.39006,1.04423,0.91976,0.000304021,0.000304021,0.000304021
31,13475.3,1.45844,1.09037,0.93262,0.40847,0.29846,0.29843,0.17051,1.38858,1.04497,0.92117,0.000289884,0.000289884,0.000289884
32,13716.8,1.45579,1.09408,0.93239,0.40765,0.2965,0.2956,0.16985,1.38937,1.04321,0.9208,0.000275747,0.000275747,0.000275747
33,13960.2,1.44492,1.08291,0.93209,0.40796,0.30093,0.30035,0.17017,1.38511,1.03715,0.9188,0.00026161,0.00026161,0.00026161
34,14206,1.44463,1.0828,0.92861,0.39986,0.30146,0.29583,0.16945,1.38249,1.03857,0.91732,0.000247472,0.000247472,0.000247472
35,14468.3,1.43794,1.07395,0.92849,0.41432,0.29919,0.29804,0.171,1.38325,1.03458,0.91881,0.000233335,0.000233335,0.000233335
36,14741.8,1.42937,1.06623,0.92896,0.41527,0.30074,0.30022,0.17202,1.38112,1.03054,0.91825,0.000219198,0.000219198,0.000219198
37,15011.9,1.43278,1.06194,0.9276,0.41249,0.29915,0.29732,0.17032,1.37943,1.02821,0.91876,0.000205061,0.000205061,0.000205061
38,15269.3,1.42789,1.06036,0.92517,0.41099,0.30573,0.30125,0.17311,1.37679,1.02527,0.91657,0.000190924,0.000190924,0.000190924
39,15524.3,1.42918,1.05887,0.92537,0.40837,0.30638,0.30169,0.17304,1.37454,1.02575,0.91598,0.000176786,0.000176786,0.000176786
40,15889.4,1.42727,1.05516,0.92392,0.41417,0.30841,0.30372,0.17356,1.37459,1.02257,0.91593,0.000162649,0.000162649,0.000162649
41,16158.1,1.40382,1.02989,0.92207,0.41092,0.30258,0.29831,0.17006,1.38362,1.03275,0.91919,0.000148512,0.000148512,0.000148512
42,16690.8,1.39646,1.02237,0.92212,0.40313,0.30701,0.30048,0.17311,1.38023,1.02807,0.91856,0.000134375,0.000134375,0.000134375
43,16943.4,1.39223,1.01486,0.91804,0.39771,0.30656,0.29989,0.17232,1.37643,1.02435,0.91719,0.000120238,0.000120238,0.000120238
44,17206.5,1.38103,1.00465,0.91767,0.40323,0.31115,0.30302,0.17433,1.3777,1.02651,0.91758,0.0001061,0.0001061,0.0001061
45,415.435,1.31787,0.98778,0.96434,0.4502,0.38668,0.37976,0.22853,1.3288,1.02465,0.9651,9.19632e-05,9.19632e-05,9.19632e-05
46,719.945,1.31116,0.97278,0.96074,0.46682,0.38173,0.38357,0.2304,1.32664,1.01722,0.9645,7.7826e-05,7.7826e-05,7.7826e-05
47,1017.88,1.30712,0.96819,0.95782,0.4629,0.39137,0.3851,0.23198,1.32231,1.01462,0.96275,6.36888e-05,6.36888e-05,6.36888e-05
48,1316.21,1.30698,0.96271,0.95803,0.4668,0.39003,0.38802,0.23426,1.31863,1.00854,0.96121,4.95516e-05,4.95516e-05,4.95516e-05
49,1611.15,1.29844,0.95439,0.95567,0.46341,0.39183,0.38888,0.23445,1.31716,1.00806,0.96059,3.54144e-05,3.54144e-05,3.54144e-05
50,1910.91,1.29993,0.95142,0.95441,0.46801,0.39242,0.3886,0.23475,1.31695,1.00565,0.96017,2.12772e-05,2.12772e-05,2.12772e-05
